,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
21182,253708,Cash loans,F,Y,Y,1,337500.0,752553.0,32013.0,598500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-15924,-5482,-3894.0,-4701,2.0,1,1,0,1,0,1,Realty agents,3.0,1,1,FRIDAY,12,0,0,0,0,0,0,Self-employed,0.4369890348917708,0.6976416513746925,0.25670557243930026,0.3057,0.1226,0.9846,0.7892,,0.3,0.2414,0.4792,0.5208,0.0362,,0.3255,,0.0168,0.1155,0.0536,0.9816,0.7583,,0.0806,0.0345,0.3333,0.375,0.019,,0.1143,,0.0087,0.3086,0.1226,0.9846,0.792,,0.3,0.2414,0.4792,0.5208,0.0368,,0.3313,,0.0171,reg oper account,block of flats,0.4312,"Stone, brick",No,0.0,0.0,0.0,0.0,-1125.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
1142,108082,Cash loans,F,N,N,1,72000.0,135531.0,14359.5,117000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.007120000000000001,-10836,-1755,-4589.0,-626,,1,1,0,1,0,0,Sales staff,3.0,2,2,FRIDAY,13,0,0,0,0,0,0,Business Entity Type 3,0.309878076960886,0.7015662968206807,0.6263042766749393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2246.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
36569,367632,Cash loans,F,N,Y,0,112500.0,292500.0,18823.5,292500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-20685,365243,-1204.0,-4046,,1,0,0,1,0,0,,2.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,XNA,,0.325257559377027,,0.0454,,0.9752,,,0.0,0.1034,0.125,,0.0351,,0.0381,,0.0001,0.0462,,0.9752,,,0.0,0.1034,0.125,,0.0359,,0.0397,,0.0001,0.0458,,0.9752,,,0.0,0.1034,0.125,,0.0357,,0.0388,,0.0001,,block of flats,0.0347,"Stone, brick",No,1.0,0.0,1.0,0.0,-480.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
33370,343415,Cash loans,F,N,Y,0,112500.0,675000.0,34596.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018209,-15904,-572,-3233.0,-4474,,1,1,0,1,0,0,Cooking staff,2.0,3,3,WEDNESDAY,12,0,0,0,0,0,0,Kindergarten,,0.3883253290639769,0.5549467685334323,0.032,0.0299,0.9737,,,0.0,0.069,0.0833,,0.0292,,0.0252,,0.002,0.0326,0.031,0.9737,,,0.0,0.069,0.0833,,0.0299,,0.0263,,0.0021,0.0323,0.0299,0.9737,,,0.0,0.069,0.0833,,0.0297,,0.0257,,0.002,,block of flats,0.0217,"Stone, brick",No,0.0,0.0,0.0,0.0,-650.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
25426,285120,Cash loans,F,N,N,0,67500.0,301896.0,21600.0,252000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634,-19328,-6381,-9876.0,-2854,,1,1,0,1,0,0,,2.0,2,2,MONDAY,17,0,0,0,0,0,0,Kindergarten,,0.4800528401832864,0.7267112092725122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
25867,288269,Cash loans,F,N,Y,1,279000.0,860377.5,44059.5,706500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-17103,-1165,-1292.0,-648,,1,1,0,1,0,0,Accountants,3.0,3,2,WEDNESDAY,8,0,0,0,0,0,0,Government,0.53141457709137,0.4892993361051792,0.5744466170995097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-713.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
36410,366458,Cash loans,M,Y,Y,2,157500.0,157500.0,8181.0,157500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.003122,-13228,-3010,-3012.0,-1901,2.0,1,1,1,1,0,0,,4.0,3,3,SUNDAY,12,0,0,0,0,0,0,Medicine,,0.5503881090084337,0.3979463219016906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-310.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
30142,319292,Cash loans,M,N,N,1,180000.0,509400.0,28444.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.04622,-12291,-4771,-6179.0,-3767,,1,1,1,1,1,0,Laborers,3.0,1,1,TUESDAY,19,0,0,0,1,1,0,Transport: type 4,,0.7734459573507642,0.7946285827840042,0.0619,0.0715,0.9881,0.8368,0.0105,0.0,0.1379,0.1667,0.2083,0.1088,0.0504,0.0554,0.0039,0.0135,0.063,0.0742,0.9881,0.8432,0.0106,0.0,0.1379,0.1667,0.2083,0.1113,0.0551,0.0578,0.0039,0.0143,0.0625,0.0715,0.9881,0.8390000000000001,0.0106,0.0,0.1379,0.1667,0.2083,0.1107,0.0513,0.0564,0.0039,0.0138,reg oper account,block of flats,0.0465,"Stone, brick",No,0.0,0.0,0.0,0.0,-3068.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
33490,344317,Cash loans,M,N,N,1,180000.0,247500.0,19282.5,247500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-16534,365243,-1350.0,-69,,1,0,0,1,0,0,,3.0,2,2,MONDAY,7,0,0,0,0,0,0,XNA,,0.6651237981361401,0.4471785780453068,0.1031,0.1082,0.9762,,,0.0,0.2069,0.1667,,0.0877,,0.0641,,0.0,0.105,0.1123,0.9762,,,0.0,0.2069,0.1667,,0.0897,,0.0668,,0.0,0.1041,0.1082,0.9762,,,0.0,0.2069,0.1667,,0.0892,,0.0652,,0.0,,block of flats,0.0733,Panel,No,0.0,0.0,0.0,0.0,-3124.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
17226,224831,Cash loans,F,N,N,0,157500.0,345510.0,16749.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009657,-18239,-11363,-8392.0,-1792,,1,1,0,1,0,0,Laborers,2.0,2,2,THURSDAY,14,0,0,0,0,0,0,Other,0.4349067176095154,0.5571372080685174,0.2940831009471255,0.0742,0.0611,0.9881,0.8368,0.0523,0.08,0.069,0.3333,0.375,0.0498,0.0605,0.127,0.0,0.0,0.0756,0.0634,0.9881,0.8432,0.0527,0.0806,0.069,0.3333,0.375,0.051,0.0661,0.1323,0.0,0.0,0.0749,0.0611,0.9881,0.8390000000000001,0.0526,0.08,0.069,0.3333,0.375,0.0507,0.0616,0.1293,0.0,0.0,reg oper account,block of flats,0.0713,Panel,No,1.0,0.0,1.0,0.0,-2976.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
31506,329138,Cash loans,M,Y,Y,1,157500.0,855000.0,41260.5,855000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-12269,-147,-707.0,-1681,3.0,1,1,0,1,0,0,Laborers,3.0,2,2,THURSDAY,17,0,0,0,0,0,0,Industry: type 5,0.4502906306732584,0.6565765836253287,0.4561097392782771,0.2268,,0.9985,,,0.24,0.2069,0.375,,,,0.2072,,0.0,0.2311,,0.9985,,,0.2417,0.2069,0.375,,,,0.2159,,0.0,0.22899999999999998,,0.9985,,,0.24,0.2069,0.375,,,,0.2109,,0.0,,block of flats,0.163,Panel,No,0.0,0.0,0.0,0.0,-1662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
18794,236631,Cash loans,F,Y,Y,1,99000.0,104256.0,12501.0,90000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.008625,-11219,-2082,-3740.0,-3801,15.0,1,1,0,1,0,1,Accountants,3.0,2,2,FRIDAY,12,0,0,0,0,1,1,Industry: type 9,0.6868260623437323,0.6108728508068004,0.4848514754962666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1257.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
27942,303939,Cash loans,F,N,Y,2,135000.0,720000.0,36891.0,720000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.026392,-13161,-685,-2338.0,-4937,,1,1,0,1,0,0,Laborers,4.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Industry: type 9,,0.7241615001512292,0.6528965519806539,0.2155,,0.9916,,,0.08,0.069,0.3333,,,,0.1627,,0.0,0.2195,,0.9916,,,0.0806,0.069,0.3333,,,,0.1695,,0.0,0.2176,,0.9916,,,0.08,0.069,0.3333,,,,0.1657,,0.0,,block of flats,0.128,"Stone, brick",No,0.0,0.0,0.0,0.0,-1851.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
28914,310691,Cash loans,F,N,N,0,135000.0,156384.0,11119.5,135000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.007114,-18327,-383,-3267.0,-1866,,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,Self-employed,0.2083957970157068,0.16966317297528802,0.6279908192952864,,,0.9727,,,,,,,,,0.0142,,,,,0.9727,,,,,,,,,0.0148,,,,,0.9727,,,,,,,,,0.0145,,,,block of flats,0.0112,,No,0.0,0.0,0.0,0.0,-27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
11625,184486,Cash loans,M,N,Y,0,225000.0,495000.0,39240.0,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-19410,-435,-751.0,-2912,,1,1,0,1,0,0,Laborers,2.0,2,2,WEDNESDAY,10,0,0,0,0,1,1,Business Entity Type 3,0.5588234997425515,0.6542257197555684,0.4614823912998385,0.1247,0.1274,0.9781,0.7008,0.0093,0.0,0.2069,0.1667,0.2083,0.11699999999999999,0.1017,0.1168,0.0,0.0,0.1271,0.1322,0.9782,0.7125,0.0093,0.0,0.2069,0.1667,0.2083,0.1197,0.1111,0.1217,0.0,0.0,0.126,0.1274,0.9781,0.7048,0.0093,0.0,0.2069,0.1667,0.2083,0.11900000000000001,0.1035,0.1189,0.0,0.0,reg oper account,block of flats,0.0969,Panel,No,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
18901,237362,Cash loans,F,N,Y,0,180000.0,708552.0,26712.0,585000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.014519999999999996,-19810,-11247,-4619.0,-3363,,1,1,0,1,0,0,Core staff,2.0,2,2,MONDAY,11,0,0,0,0,0,0,School,0.6150948202875032,0.5738939919540976,0.1873887653772306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2093.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
10845,178790,Cash loans,F,N,N,0,193500.0,675000.0,25578.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.006233,-23400,-2457,-9588.0,-4229,,1,1,1,1,0,0,,1.0,2,2,SUNDAY,14,0,0,0,0,0,0,Business Entity Type 3,,0.4337468519901145,0.5046813193144684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-1913.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
479,103371,Cash loans,M,N,Y,2,405000.0,450000.0,35685.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-14310,-6002,-8403.0,-4378,,1,1,0,1,0,0,Laborers,4.0,2,2,FRIDAY,10,0,1,1,0,1,1,Industry: type 9,,0.390847469888466,0.16146308000577247,0.2619,0.1639,0.9831,0.7688,0.5949,0.28,0.2414,0.3333,0.375,0.1837,0.2135,0.1681,0.0,0.0127,0.2668,0.1701,0.9831,0.7779,0.6004,0.282,0.2414,0.3333,0.375,0.1878,0.2332,0.1751,0.0,0.0135,0.2644,0.1639,0.9831,0.7719,0.5987,0.28,0.2414,0.3333,0.375,0.1869,0.2172,0.1711,0.0,0.013000000000000001,reg oper account,block of flats,0.3166,Panel,No,1.0,0.0,1.0,0.0,-1502.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
35594,360475,Cash loans,M,Y,Y,0,180000.0,269982.0,27792.0,238500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.002134,-17654,-1334,-442.0,-1180,10.0,1,1,0,1,0,0,Laborers,2.0,3,3,WEDNESDAY,11,0,0,0,0,0,0,Transport: type 4,,0.5524381521510296,0.5709165417729987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1102.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
19463,241577,Cash loans,F,N,Y,2,112500.0,177768.0,14175.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-8329,-380,-1006.0,-1006,,1,1,0,1,0,0,Sales staff,4.0,3,3,TUESDAY,9,0,0,0,0,0,0,Self-employed,0.17596038870747147,0.1561405328572507,0.2405414172860865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
23158,268301,Cash loans,M,Y,Y,0,171000.0,270000.0,32170.5,270000.0,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,0.028663,-9784,-1801,-6385.0,-2450,9.0,1,1,0,1,0,0,Laborers,1.0,2,2,THURSDAY,17,0,0,0,0,0,0,Business Entity Type 3,0.5948161055043318,0.4794524678604461,0.2851799046358216,0.0763,0.0523,0.9911,0.8776,0.02,0.08,0.069,0.3333,0.375,0.0617,0.0605,0.0832,0.0077,0.0006,0.0777,0.0543,0.9911,0.8824,0.0202,0.0806,0.069,0.3333,0.375,0.0632,0.0661,0.0867,0.0078,0.0006,0.077,0.0523,0.9911,0.8792,0.0201,0.08,0.069,0.3333,0.375,0.0628,0.0616,0.0847,0.0078,0.0006,reg oper account,block of flats,0.0765,Panel,No,2.0,0.0,2.0,0.0,-1372.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
48090,451338,Cash loans,F,N,Y,0,180000.0,598500.0,19435.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.035792000000000004,-19151,-4802,-10689.0,-2709,,1,1,0,1,0,0,Laborers,2.0,2,2,MONDAY,16,0,0,0,0,1,1,Business Entity Type 1,0.6748140552245064,0.6758054617232608,0.6041125998015721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
7924,158184,Cash loans,F,N,Y,1,675000.0,983160.0,55026.0,900000.0,Family,Commercial associate,Higher education,Civil marriage,Rented apartment,0.04622,-15409,-931,-4214.0,-4952,,1,1,0,1,0,1,Accountants,3.0,1,1,SATURDAY,13,0,0,0,0,1,1,Business Entity Type 3,0.6713304072958393,0.7480681071017008,0.8307666055019554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2280.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
17072,223609,Cash loans,F,N,Y,0,157500.0,345510.0,17770.5,247500.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.00823,-15751,-1486,-746.0,-139,,1,1,0,1,0,0,Managers,2.0,2,2,FRIDAY,12,0,0,0,0,0,0,Industry: type 3,0.6897674663677568,0.002779320151332267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,0.0,1.0,0.0,-301.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8025,158815,Cash loans,F,N,Y,0,180000.0,135000.0,7020.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.026392,-20925,-6216,-212.0,-4379,,1,1,0,1,0,0,Security staff,2.0,2,2,FRIDAY,13,0,0,0,0,0,0,Security,,0.3168353398744826,0.3108182544189319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1317.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
5992,143843,Cash loans,M,Y,N,0,135000.0,1800000.0,55872.0,1800000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.02461,-19937,365243,-459.0,-3418,15.0,1,0,0,1,1,0,,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,XNA,,0.6719657383407588,0.7688075728291359,0.1381,,0.9940000000000001,,,0.16,0.1379,0.375,,,,0.18,,0.0798,0.1408,,0.9940000000000001,,,0.1611,0.1379,0.375,,,,0.1876,,0.0845,0.1395,,0.9940000000000001,,,0.16,0.1379,0.375,,,,0.1833,,0.0815,,block of flats,0.1806,Monolithic,No,0.0,0.0,0.0,0.0,-1814.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
38355,381691,Cash loans,M,N,Y,0,126000.0,296280.0,18256.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.032561,-24135,365243,-8411.0,-4643,,1,0,0,1,1,0,,2.0,1,1,FRIDAY,15,0,0,0,0,0,0,XNA,,0.7980348439252221,,,,0.9647,,,,,,,,,0.0985,,,,,0.9454,,,,,,,,,0.0501,,,,,0.9647,,,,,,,,,0.1002,,,,,0.1903,,No,14.0,0.0,14.0,0.0,-1800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
12758,192872,Cash loans,M,N,Y,0,144000.0,156384.0,11691.0,135000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01885,-13506,-1707,-6508.0,-4304,,1,1,0,1,1,0,Security staff,2.0,2,2,TUESDAY,8,0,1,1,0,1,1,Security,0.3807689717577985,0.694574697305848,0.7194907850918436,0.0186,0.0467,0.9811,0.7416,0.0159,,0.1034,0.0417,,0.0116,0.0151,0.0105,,,0.0189,0.0484,0.9811,0.7517,0.0161,,0.1034,0.0417,,0.0119,0.0165,0.011000000000000001,,,0.0187,0.0467,0.9811,0.7451,0.016,,0.1034,0.0417,,0.0118,0.0154,0.0107,,,reg oper account,block of flats,0.0122,Panel,No,3.0,1.0,3.0,0.0,-574.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
20330,247646,Cash loans,F,N,Y,0,315000.0,360000.0,20664.0,360000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.031329,-16168,-1574,-1591.0,-4171,,1,1,1,1,1,0,Sales staff,2.0,2,2,MONDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.6984938878224377,0.3956686147933418,0.3360615207658242,0.0763,0.0541,0.9722,0.6192,0.0167,0.0,0.1724,0.125,0.1667,0.0794,0.0614,0.0675,0.0039,0.0264,0.0378,0.0429,0.9717,0.6276,0.006999999999999999,0.0,0.1034,0.0833,0.125,0.0603,0.0331,0.0395,0.0,0.0,0.077,0.0541,0.9722,0.6243,0.0168,0.0,0.1724,0.125,0.1667,0.0808,0.0624,0.0687,0.0039,0.0269,reg oper account,block of flats,0.0298,"Stone, brick",No,1.0,0.0,1.0,0.0,-146.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
24290,277065,Cash loans,F,N,Y,2,135000.0,301464.0,23818.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.02461,-12680,-538,-1456.0,-3128,,1,1,1,1,1,0,Medicine staff,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Medicine,,0.4675251024344255,0.23791607950711405,,0.1127,0.9796,0.7212,,0.16,0.1379,0.3333,0.375,0.0773,0.121,0.1531,,0.0,,0.11699999999999999,0.9796,0.7321,,0.1611,0.1379,0.3333,0.375,0.0791,0.1322,0.1595,,0.0,,0.1127,0.9796,0.7249,,0.16,0.1379,0.3333,0.375,0.0786,0.1231,0.1559,,0.0,reg oper account,block of flats,0.141,Panel,No,5.0,0.0,5.0,0.0,-59.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
398,102749,Cash loans,M,Y,N,0,135000.0,537471.0,56569.5,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.007305,-19933,-4280,-5061.0,-3193,1.0,1,1,0,1,0,0,Laborers,2.0,3,3,WEDNESDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.5497548968878996,0.7981372313187245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,5.0,0.0,-1681.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
39073,388079,Cash loans,M,N,N,0,351000.0,983160.0,54895.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.020713,-11292,-2823,-667.0,-3653,,1,1,1,1,1,1,Laborers,2.0,3,2,WEDNESDAY,13,0,0,0,0,0,0,Transport: type 2,,0.6714304704514863,0.7662336700704004,0.1711,0.0789,0.9990000000000001,0.9864,0.1376,0.16,0.069,0.5417,0.0,0.0156,0.1395,0.1598,0.0,0.0,0.1744,0.0819,0.9990000000000001,0.9869,0.1388,0.1611,0.069,0.5417,0.0,0.016,0.1524,0.1665,0.0,0.0,0.1728,0.0789,0.9990000000000001,0.9866,0.1385,0.16,0.069,0.5417,0.0,0.0159,0.1419,0.1626,0.0,0.0,reg oper account,block of flats,0.2009,Panel,No,0.0,0.0,0.0,0.0,-640.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
